city,lat,lng
vila,42.53176,1.56654
el tarter,42.57952,1.65362
sant julià de lòria,42.46372,1.49129
santa coloma,42.49454,1.49897
pas de la casa,42.54277,1.73361
ordino,42.55623,1.53319
les escaldes,42.50729,1.53414
les bons,42.53873,1.58649
la massana,42.54499,1.51483
encamp,42.53474,1.58014
canillo,42.5676,1.59756
arinsal,42.57205,1.48453
anyós,42.53465,1.5251
andorra la vella,42.50779,1.52109
aixirivall,42.46245,1.50209
warīsān,25.16744,55.40708
umm suqaym,25.15491,55.21015
umm al quwain city,25.56473,55.55517
ţarīf kalbā,25.0695,56.33115
ar rāshidīyah,25.22499,55.38947
ras al khaimah,25.78953,55.9432
muzayri‘,23.14355,53.7881
murbaḩ,25.27623,56.36256
maşfūţ,24.81089,56.10657
zayed city,23.65416,53.70522
khawr fakkān,25.33132,56.34199
kalbā,25.0513,56.35422
jumayrā,25.20795,55.24969
al jazīrah al ḩamrā’,25.7091,55.80772
dubai,25.07725,55.30927
dibba al-fujairah,25.59246,56.26176
dibba al-hisn,25.61955,56.27291
dayrah,25.27143,55.30207
sharjah,25.3342,55.41221
ash sha‘m,26.0279,56.08352
ar ruways,24.11028,52.73056
ar rams,25.87658,56.01862
al manāmah,25.3299,56.02188
al ḩamrīyah,25.47819,55.53377
ḩattā,24.80073,56.12726
fujairah,25.11641,56.34141
al ain city,24.19167,55.76056
ajman,25.40177,55.47878
adh dhayd,25.28812,55.88157
abu dhabi,24.45118,54.39696
abū hayl,25.28413,55.33153
as saţwah,25.22192,55.27459
margham,24.89952,55.62545
abū mūsá,25.86698,55.02363
nadd al ḩumr,25.20131,55.38388
al lusaylī,24.93138,55.47531
suwayḩān,24.46235,55.33715
al ḩamīdīyah,25.40001,55.52925
al waheda,25.29173,55.33822
al twar first,25.27148,55.36165
al twar second,25.26309,55.38028
al qusais second,25.27148,55.38603
al karama,25.24004,55.30106
al hudaiba,25.24151,55.27805
al wasl,25.19881,55.25565
knowledge village,25.10223,55.16433
the palm jumeirah,25.11607,55.13506
za'abeel,25.22536,55.305
oud metha,25.23685,55.31419
bur dubai,25.26038,55.29891
khalifah a city,24.42588,54.605
shakhbout city,24.36727,54.63721
mirdif,25.22443,55.41412
hawr al ‘anz,25.27744,55.33675
mankhūl,25.24612,55.29222
būr sa‘īd,25.261,55.33016
nāyf,25.27139,55.30323
al murar al qadīm,25.27576,55.30738
ar riqqah,25.26797,55.31272
al warqaa,25.19272,55.42013
international city,25.16383,55.40987
dubai marina,25.08525,55.14646
dubai sports city,25.03878,55.21725
dubai internet city,25.09538,55.16171
al sufouh,25.12015,55.18285
al safa,25.17047,55.23336
ar rumaylah,25.40338,55.4334
mushayrif,25.40977,55.47106
al jurf,25.41814,55.50791
al majaz,25.32354,55.38774
as saţwah sharq,25.23796,55.28678
dubai festival city,25.22177,55.35733
dubai international financial centre,25.2106,55.27787
downtown dubai,25.19408,55.2781
dubai investments park,25.00827,55.15682
jebel ali,25.00255,55.10811
bani yas city,24.30978,54.62944
musaffah,24.35893,54.48267
al shamkhah city,24.39268,54.70779
reef al fujairah city,25.14479,56.24764
al wiqan,23.75355,55.32739
al faqaa,24.71242,55.67048
sha'biyyat al hiyar,24.58242,55.7467
sha'biyyat milе̄hah,25.13518,55.8843
umm al sheif,25.13227,55.20567
al bada'a,25.22462,55.26888
al muteena,25.27375,55.32265
al mizhar first,25.24805,55.44128
al mizhar second,25.24332,55.4619
dubai silicon oasis,25.11985,55.38718
dubai motor city,25.04593,55.24102
damac hills,25.02924,55.25277
al furjan,25.02651,55.14565
business bay,25.18544,55.26969
al qusais 1,25.27925,55.36995
al twar 3,25.25159,55.39408
al khabaisi,25.26628,55.33379
